PROLIFIC_PID,STUDY_ID,SESSION_ID,CONDITION_ID,overview.started,overview.stopped,instrRep2.keys,instrRep2.rt,instrRep2.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instructions2.started,instructions2.stopped,instrResp2.keys,instrResp2.rt,instrResp2.duration,instructions3.started,instructions3.stopped,instrResp3.keys,instrResp3.rt,instrResp3.duration,attnCheck.started,attnCheck.stopped,ac_kr.keys,ac_kr.rt,ac_kr.duration,attention.thisRepN,attention.thisTrialN,attention.thisN,attention.thisIndex,attention.ran,welcome.started,welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,topicMsg.started,topicMsg.stopped,topicKey.keys,topicKey.rt,topicKey.duration,statementMsg.started,statementMsg.stopped,statementKey.keys,statementKey.rt,statementKey.duration,rebuttalsIntro.started,rebuttalsIntro.stopped,introKey.keys,introKey.rt,introKey.duration,challengeMsg.started,challengeMsg.stopped,challengeKey.keys,challengeKey.rt,challengeKey.duration,argQualityProbe.started,argQualityProbe.stopped,aq_kr.keys,aq_kr.rt,aq_kr.duration,aq_rating,aq_decision_rt,aq_submit_rt,challenges.thisRepN,challenges.thisTrialN,challenges.thisN,challenges.thisIndex,challenges.ran,challengeText,challengeType,feelProbe.started,feelProbe.stopped,f_kr.keys,feeling_rating,f_decision_rt,f_submit_rt,stanceProbe_2.started,stanceProbe_2.stopped,s_kr.keys,stance_rating,s_decision_rt,s_submit_rt,changeProbe.started,changeProbe.stopped,c_kr.keys,change_rating,c_decision_rt,c_submit_rt,attnCheck2_2.started,attnCheck2_2.stopped,c_kr_2.keys,attention_choice_selected,attention_score,check_decision_rt,check_submit_rt,learnProbe.started,learnProbe.stopped,le_kr.keys,learnmore_rating,l_decision_rt,l_submit_rt,knowledgeProbe.started,knowledgeProbe.stopped,k_kr.keys,knowledge_rating,k_decision_rt,k_submit_rt,break_2.started,break_2.stopped,party.thisRepN,party.thisTrialN,party.thisN,party.thisIndex,party.ran,party,challengesFile,statementText,challenge1,challenge2,challenge3,challenge4,challenge5,challenge6,challenge7,topics.thisRepN,topics.thisTrialN,topics.thisN,topics.thisIndex,topics.ran,topicFile,topicText,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,fun.started,fun.stopped,f_kr_2.keys,fun_rating,improvement.started,improvement.stopped,improvementObj.text,thankyou.started,thankyou.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1826,54.1691,return,1.9807,,54.1693,56.4876,"[""left"",""return"",""return"",""return""]","[0.7271000000005614,1.1019000000003771,1.7457000000001912,2.3045000000000044]","[null,null,null,null]",2,0.7335,2.3181,0,5,5,0,1,"Sudden ICE raids destabilize key U.S. industries like agriculture, construction, and food processing, hurting American employers and local economies that depend on immigrant labor.",nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4884,59.5226,return,0.0277,,59.5227,62.4096,"[""left"",""return""]","[1.7270999999996377,2.8730999999996385]","[null,null]",2,1.7354,2.8863,0,6,6,4,1,"Over 90% of fentanyl seizures occur at legal crossing points or interior vehicle checkpoints, not on illegal migration routes. ",stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4103,64.6269,,3,,2.2156,64.6272,66.8635,,3,,2.2347,66.864,69.232,,3,,2.3661,69.2331,69.2377,,3,0,,,69.238,71.4335,,3,,2.1945,71.4339,73.7692,,3,,2.334,73.7695,76.7704,0,0,0,1,1,Republican,immigration/immigrationRep.xlsx,Illegal immigration is a major threat to Americans' welfare.,"Sudden ICE raids destabilize key U.S. industries like agriculture, construction, and food processing, hurting American employers and local economies that depend on immigrant labor.","Because they do not claim tax refunds, undocumented immigrants often pay taxes at a higher rate than native-born households.",Increases in undocumented immigration have compensated for labor shortages in agriculture and service sectors.,A study found that undocumented immigrants are arrested for violent crimes at half the rate of native-born U.S. citizens.,"Over 90% of fentanyl seizures occur at legal crossing points or interior vehicle checkpoints, not on illegal migration routes. ","More than a third of the tax dollars paid by undocumented immigrants go toward payroll taxes dedicated to funding programs they cannot access: in 2022, they paid $25.7 billion to Social Security, $6.4 billion to Medicare, and $1.8 to unemployment insurance.",Research found that the likelihood of an immigrant being incarcerated is 60% lower than of people born in the U.S. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7721,79.7903,return,0.0009,,79.7905,81.8409,return,2.0355,,81.8493,85.0768,return,0.2009,,85.0769,87.4128,"[""return"",""return""]","[1.663899999999444,2.3208999999994404]","[null,null]",3,,2.3353,0,0,0,2,1,"Language barriers make it difficult for immigrants to comply with state-mandated health measures, enhancing the spread of illness. ",nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4144,90.8159,return,0.3951,,90.816,92.851,"[""left"",""return""]","[1.3298999999994408,2.0173999999994408]","[null,null]",2,1.3344,2.0347,0,1,1,4,1,"In some regions of the U.S., rapid population growth in high-immigration areas has increased congestion and demand for public infrastructure by 10-15%.",stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8519,96.3371,return,0.4793,,96.3372,99.4567,"[""return""]",[3.1038000000007457],[null],3,,3.119,0,2,2,0,1,Studies show that large waves of low-skilled immigration can depress wages for native-born workers without college degrees. ,nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.458,103.0256,return,0.5609,,103.0257,105.3282,"[""right"",""right"",""return"",""return""]","[0.5902000000001806,0.7516000000005647,1.8695000000000022,2.290600000000552]","[null,null,null,null]",5,0.7675,2.302,0,3,3,3,1,"Local schools struggle to adapt to immigrant students, who often require additional resources like bilingual education and trauma services.",nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3298,108.8466,return,0.5009,,108.8467,111.0828,"[""return"",""return""]","[0.7266999999992549,2.2213999999994485]","[null,null]",3,,2.2357,0,4,4,1,1,"In some states, first-generation immigrants cost state and local governments thousands of dollars more per person annually in public services than they contribute in taxes in the first few years.",nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0845,114.352,return,0.2634,,114.352,116.8531,"[""return"",""return""]","[0.5679000000003782,2.48490000000038]","[null,null]",3,,2.5007,0,5,5,6,1,"In the key industries of construction, cleaning, farming, and tech, over 25% of the workforce is foreign-born, increasing dependence on foreign-born labor at both ends of the pay spectrum.",stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.854,119.9386,return,0.0677,,119.9387,122.0753,"[""left"",""return""]","[1.019999999999996,2.13170000000018]","[null,null]",2,1.0352,2.136,0,6,6,5,1,Research suggests that some employers rely on immigrant labor to keep wages 3-4% lower than they would be for native-born workers. ,stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0756,124.3424,,3,,2.2664,124.3431,126.7785,,3,,2.4349,126.7797,130.3822,,3,,3.6024,130.3838,130.3852,,3,0,,,130.3854,133.2336,,3,,2.8477,133.2337,136.2369,,3,,3.0027,136.2369,139.2392,0,1,1,0,1,Democrat,immigration/immigrationDem.xlsx,More immigration is good for the U.S. economy.,Studies show that large waves of low-skilled immigration can depress wages for native-born workers without college degrees.,"In some states, first-generation immigrants cost state and local governments thousands of dollars more per person annually in public services than they contribute in taxes in the first few years.","Language barriers make it difficult for immigrants to comply with state-mandated health measures, enhancing the spread of illness.","Local schools struggle to adapt to immigrant students, who often require additional resources like bilingual education and trauma services.","In some regions of the U.S., rapid population growth in high-immigration areas has increased congestion and demand for public infrastructure by 10-15%.",Research suggests that some employers rely on immigrant labor to keep wages 3-4% lower than they would be for native-born workers. ,"In the key industries of construction, cleaning, farming, and tech, over 25% of the workforce is foreign-born, increasing dependence on foreign-born labor at both ends of the pay spectrum.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,immigration/immigrationBlock.xlsx,Immigration,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2399,139.8896,return,0.6327,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.8898,139.8928,,3,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.8929,141.1749,test,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.175,141.9078,return,0.7117,
